         53412031 function calls (52113818 primitive calls) in 434.365 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    848/1    0.008    0.000  434.481  434.481 {built-in method builtins.exec}
        1    0.002    0.002  434.481  434.481 run.py:1(<module>)
302821/124691    3.212    0.000  415.123    0.003 dependencies.py:9(recurseModelDependencies)
       10    0.065    0.007  375.482   37.548 ivp.py:156(solve_ivp)
     2049    0.023    0.000  318.949    0.156 base.py:159(step)
     2049    0.042    0.000  318.927    0.156 lsoda.py:140(_step_impl)
     2049    0.192    0.000  318.876    0.156 _ode.py:1338(run)
    13964    0.115    0.000  318.676    0.023 base.py:136(fun)
    13964    0.156    0.000  318.561    0.023 base.py:19(fun_wrapped)
    13964    1.888    0.000  318.257    0.023 ode.py:32(system)
    17813    1.022    0.000  262.934    0.015 tank.py:135(computeDerivedVariables)
   777410   10.099    0.000  232.983    0.000 polyint.py:56(__call__)
17823/17756    0.326    0.000  232.601    0.013 zeros.py:650(brentq)
17823/17756    0.864    0.000  232.113    0.013 {built-in method scipy.optimize._zeros._brentq}
   185446    2.126    0.000  230.503    0.001 tank.py:139(tempFn)
   185446    3.237    0.000  227.814    0.001 tank.py:69(derivePropellantVolume)
   777410   15.445    0.000  142.534    0.000 interpolate.py:652(_evaluate)
   203259    2.867    0.000  124.477    0.001 tank.py:47(deriveVaporQuality)
   777410    5.310    0.000   78.723    0.000 interpolate.py:644(_call_spline)
    17813    0.931    0.000   74.203    0.004 environment.py:25(computeDerivedVariables)
   777410   26.677    0.000   73.413    0.000 _bsplines.py:301(__call__)
   777410    7.469    0.000   72.705    0.000 polyint.py:82(_prepare_x)
   777410   14.682    0.000   62.742    0.000 _util.py:226(_asarray_validated)
     2126    0.090    0.000   55.803    0.026 ode.py:65(no_chamber_pressure)
     2049    0.038    0.000   54.130    0.026 ivp.py:595(<listcomp>)
   106878   17.628    0.000   53.334    0.000 ambiance.py:365(_get_layer_params)
       10    0.093    0.009   48.841    4.884 dependencies.py:26(applyDerivedVariablesToResult)
    17813    1.344    0.000   48.340    0.003 combustion.py:70(computeDerivedVariables)
    17813    0.995    0.000   45.889    0.003 cea.py:29(getPerformanceParameters)
    35626    1.983    0.000   43.440    0.001 ambiance.py:435(pressure)
   777410   11.983    0.000   39.110    0.000 interpolate.py:667(_check_bounds)
    71252    0.828    0.000   36.459    0.001 ambiance.py:416(temperature)
   516577    4.698    0.000   35.025    0.000 <__array_function__ internals>:2(zeros_like)
1938726/842883    9.231    0.000   34.605    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   209097    1.409    0.000   32.398    0.000 {built-in method CoolProp.CoolProp.PropsSI}
   209097    1.358    0.000   30.988    0.000 CoolProp.pyx:377(PropsSI (wrapper))
    17813    0.245    0.000   30.856    0.002 ambiance.py:467(density)
    41631   27.144    0.001   29.736    0.001 cea_obj.py:378(setupCards)
   209097   25.245    0.000   29.630    0.000 CoolProp.pyx:377(PropsSI)
  1590454    9.899    0.000   27.785    0.000 {method 'any' of 'numpy.ndarray' objects}
   777440    9.568    0.000   26.338    0.000 numerictypes.py:360(issubdtype)
   516577    6.680    0.000   25.545    0.000 numeric.py:75(zeros_like)
  2449360   14.216    0.000   22.994    0.000 _asarray.py:14(asarray)
    13120    0.328    0.000   21.954    0.002 cea_obj.py:1339(estimate_Ambient_Isp)
  1590505    9.320    0.000   17.887    0.000 _methods.py:53(_any)
     6560    0.131    0.000   16.828    0.003 cea_obj_w_units.py:301(estimate_Ambient_Isp)
   777410   13.898    0.000   16.547    0.000 _bsplines.py:348(_evaluate)
